time,value,variable,signal
19.32614999999999,279.32373999999993,Eh recovery,0.9235854280865772
19.34282,279.46516999999994,Eh recovery,0.9238300479500249
19.35948,279.60426000000007,Eh recovery,0.9240706205075231
19.376149999999996,279.73985,Eh recovery,0.9243051394022758
19.39282,279.87662,Eh recovery,0.9245416992461825
19.409479999999995,280.0145099999999,Eh recovery,0.9247801962621678
19.42615,280.14661,Eh recovery,0.9250086787903545
19.442819999999998,280.27875999999986,Eh recovery,0.9252372477994374
19.459489999999995,280.40912999999995,Eh recovery,0.9254627380886101
19.47615,280.53609999999986,Eh recovery,0.92568234767683
19.492829999999998,280.66411,Eh recovery,0.9259037560676945
19.50949,280.79246,Eh recovery,0.926125752528654
19.52616,280.92187999999993,Eh recovery,0.9263495996807957
19.542829999999995,281.05029,Eh recovery,0.9265716999188309
19.5595,281.18015,Eh recovery,0.9267963081028606
19.576160000000005,281.3102099999999,Eh recovery,0.9270212622104756
19.592829999999996,281.4369399999999,Eh recovery,0.927240456690393
19.6095,281.56639999999993,Eh recovery,0.9274643730272518
19.62616,281.6936099999999,Eh recovery,0.9276843977237744
19.64283,281.8206599999999,Eh recovery,0.9279041456814286
19.6595,281.94669,Eh recovery,0.9281221294287971
19.67617,282.0697599999999,Eh recovery,0.9283349935071009
19.69284,282.19221,Eh recovery,0.92854678522229
19.70951,282.3110699999999,Eh recovery,0.9287523676091199
19.726179999999996,282.4298800000001,Eh recovery,0.9289578635150542
19.74285,282.54861,Eh recovery,0.9291632210515536
19.75951999999999,282.6681899999999,Eh recovery,0.9293700487632913
19.77618,282.78716999999995,Eh recovery,0.9295758387042726
19.79285,282.90127999999993,Eh recovery,0.9297732054059485
19.809519999999996,283.01656,Eh recovery,0.9299725957605994
19.82619,283.12876,Eh recovery,0.9301666588920343
19.842860000000005,283.23666999999995,Eh recovery,0.9303533019625613
19.85952,283.3417,Eh recovery,0.930534963733458
19.87619,283.44925,Eh recovery,0.9307209841415311
19.89286,283.5568,Eh recovery,0.9309070045496045
19.909529999999997,283.66877,Eh recovery,0.931100669868916
19.92618999999999,283.78166999999996,Eh recovery,0.9312959437328999
19.94286,283.89716999999996,Eh recovery,0.9314957146034946
19.959529999999997,284.00598,Eh recovery,0.9316839143301563
19.976189999999995,284.1136200000001,Eh recovery,0.931870090403843
19.99286,284.23664999999994,Eh recovery,0.9320828852974296
20.00953,284.3612499999999,Eh recovery,0.932298395691162
20.026199999999996,284.48007999999993,Eh recovery,0.9325039261894543
20.04286,284.60081,Eh recovery,0.9327127429618086
20.059529999999995,284.72249,Eh recovery,0.9329232028711936
20.0762,284.84614999999997,Eh recovery,0.9331370874240744
20.092860000000005,284.96813999999995,Eh recovery,0.9333480835150167
20.109529999999996,285.08876999999995,Eh recovery,0.9335567273255782
20.1262,285.21119999999996,Eh recovery,0.9337684844484085
20.142869999999995,285.33836999999994,Eh recovery,0.933988439960214
20.15953,285.4672699999999,Eh recovery,0.9342113877110336
20.1762,285.60172,Eh recovery,0.9344439348413492
20.19287,285.73789999999997,Eh recovery,0.934679474210679
20.209539999999997,285.88579,Eh recovery,0.9349352674059367
20.226199999999995,286.03523999999993,Eh recovery,0.9351937588051605
20.24287,286.1868999999999,Eh recovery,0.9354560726600037
20.259539999999998,286.33670999999987,Eh recovery,0.9357151867216816
20.276209999999995,286.48824999999994,Eh recovery,0.9359772930223738
20.29287,286.6384499999999,Eh recovery,0.9362370816350432
20.30953999999999,286.79097999999993,Eh recovery,0.9365009002574831
20.32621,286.94711999999987,Eh recovery,0.9367709628006402
20.34287,287.10643,Eh recovery,0.9370465082326269
20.359539999999996,287.26565,Eh recovery,0.937321897999
20.37621,287.42730999999986,Eh recovery,0.9376015080331154
20.392880000000005,287.5849,Eh recovery,0.9378740785222672
20.409539999999996,287.74289000000005,Eh recovery,0.9381473408585899
20.426209999999998,287.90228,Eh recovery,0.9384230246600105
20.442879999999995,288.06076,Eh recovery,0.9386971345091175
20.45955,288.21695999999986,Eh recovery,0.93896730082935
20.47620999999999,288.375,Eh recovery,0.9392406496465692
20.49288,288.53866999999997,Eh recovery,0.9395237362127185
20.50955,288.70359999999994,Eh recovery,0.9398090020974558
20.526219999999995,288.87310999999994,Eh recovery,0.9401021896323001
20.54289,289.04912,Eh recovery,0.9404066196836713
20.559550000000005,289.23241999999993,Eh recovery,0.940723658649732
20.576219999999996,289.41251999999986,Eh recovery,0.9410351628384254
20.59289,289.59640999999993,Eh recovery,0.9413532222790634
20.609559999999995,289.78125999999986,Eh recovery,0.941672942152911
20.62622,289.96304999999995,Eh recovery,0.9419873693959018
20.64289,290.15268,Eh recovery,0.9423153568434419
20.65956,290.34439,Eh recovery,0.9426469418962705
20.67622,290.53428,Eh recovery,0.9429753790444718
20.692889999999995,290.73074999999994,Eh recovery,0.9433151970786339
20.70956,290.9298299999999,Eh recovery,0.9436595294155862
20.726219999999998,291.1253899999999,Eh recovery,0.9439977734974346
20.742889999999996,291.3202099999999,Eh recovery,0.944334737662017
20.75956,291.51099999999997,Eh recovery,0.9446647314663527
20.77623,291.70552999999995,Eh recovery,0.9450011940417361
20.792899999999996,291.8949799999999,Eh recovery,0.9453288701580492
20.80957,292.09528,Eh recovery,0.9456753126288728
20.826229999999995,292.30313999999987,Eh recovery,0.9460348310112261
20.8429,292.5129800000001,Eh recovery,0.9463977740370757
20.85957,292.71969,Eh recovery,0.9467553033588126
20.876239999999996,292.93397999999996,Eh recovery,0.9471259431844381
20.8929,293.15305,Eh recovery,0.9475048505837557
20.909569999999995,293.3864699999999,Eh recovery,0.9479085780003289
20.926239999999996,293.62854999999996,Eh recovery,0.9483272839081521
20.9429,293.8771699999999,Eh recovery,0.9487573015172193
20.959569999999996,294.13385,Eh recovery,0.9492012598467799
20.976239999999997,294.39140999999995,Eh recovery,0.9496467402401163
20.992899999999995,294.65367,Eh recovery,0.950100349837711
21.00957,294.91394,Eh recovery,0.9505505174956304
21.026239999999998,295.16945,Eh recovery,0.9509924521722161
21.042909999999996,295.42089,Eh recovery,0.9514273473038379
21.05957,295.66231,Eh recovery,0.9518449116638292
